"id","title","first","last","url","n1","n2","n3","n4","n5"
"002322","塵労","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2322_13459.html",56,50,49,39,28
"000153","素戔嗚尊","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/153_15205.html",56,52,50,36,23
"000154","捨児","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/154_15206.html",55,52,51,38,28
"000142","青年と死","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/142_15207.html",56,52,51,40,29
"003756","西洋画のやうな日本画","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3756_27313.html",51,43,38,25,17
"000144","仙人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/144_15208.html",55,53,51,39,32
"002325","仙人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2325_13462.html",49,45,43,38,22
"000143","仙人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/143_15209.html",57,54,52,36,28
"000150","葬儀記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/150_15210.html",60,57,55,45,33
"003799","創作","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3799_27359.html",58,54,52,38,26
"000152","早春","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/152_15211.html",59,53,50,36,26
"000151","漱石山房の秋","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/151_13451.html",47,42,37,30,24
"002321","漱石山房の冬","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/2321_13452.html",53,50,49,40,30
"004301","装幀に就いての私の意見","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4301_6768.html",0,0,0,0,0
"000191","続西方の人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/191_15139.html",49,43,41,26,15
"003746","続澄江堂雑記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3746_27314.html",48,45,44,34,25
"000189","続芭蕉雑記","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/189_15140.html",51,44,41,29,15
"000190","続文芸的な、余りに文芸的な","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/190_15141.html",56,52,49,32,21
"003744","続野人生計事","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3744_27360.html",48,43,42,30,22
"003793","その頃の赤門生活","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3793_27315.html",61,55,53,41,27
"000157","素描三題","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/157_15212.html",51,41,39,31,23
"003762","大正十二年九月一日の大震に際して","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3762_27361.html",47,42,40,29,19
"000032","大導寺信輔の半生","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/32_14481.html",63,56,53,38,25
"046672","大導寺信輔の半生","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/46672_34485.html",61,54,51,36,23
"000033","第四の夫から","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/33_15213.html",58,55,54,43,28
"043382","滝田哲太郎君","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43382_17880.html",47,44,43,30,16
"043383","滝田哲太郎氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43383_26108.html",67,65,62,49,25
"001132","竜村平蔵氏の芸術","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/1132_6754.html",58,48,45,27,21
"004276","谷崎潤一郎氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4276_6757.html",61,55,54,38,24
"000164","たね子の憂鬱","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/164_15214.html",60,55,53,42,28
